hex_id,D1,D2,D3,D4,D5,D6
338,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
339,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
340,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
341,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
342,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
343,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
344,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
345,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
346,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
347,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
348,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
349,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
350,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
351,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
352,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
353,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
354,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
355,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
356,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
357,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
358,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
359,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
360,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
361,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
362,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
363,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
364,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
365,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
366,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
367,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
368,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
369,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
370,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
371,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
372,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
373,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
374,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
